  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:08 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    5 ?        I      0:00 [kworker/0:0-eve]
    6 ?        I<     0:00 [kworker/0:0H-kb]
    8 ?        I<     0:00 [mm_percpu_wq]
    9 ?        S      0:00 [ksoftirqd/0]
   10 ?        I      0:02 [rcu_sched]
   11 ?        S      0:00 [migration/0]
   13 ?        S      0:00 [cpuhp/0]
   14 ?        S      0:00 [cpuhp/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   18 ?        I<     0:00 [kworker/1:0H-kb]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [migration/2]
   21 ?        S      0:00 [ksoftirqd/2]
   23 ?        I<     0:00 [kworker/2:0H-ev]
   24 ?        S      0:00 [cpuhp/3]
   25 ?        S      0:00 [migration/3]
   26 ?        S      0:00 [ksoftirqd/3]
   28 ?        I<     0:00 [kworker/3:0H-ev]
   29 ?        S      0:00 [kdevtmpfs]
   30 ?        I<     0:00 [netns]
   31 ?        S      0:00 [rcu_tasks_kthre]
   32 ?        S      0:00 [kauditd]
   33 ?        S      0:00 [khungtaskd]
   34 ?        S      0:00 [oom_reaper]
   35 ?        I<     0:00 [writeback]
   36 ?        S      0:00 [kcompactd0]
   37 ?        SN     0:00 [ksmd]
   38 ?        SN     0:00 [khugepaged]
   39 ?        I<     0:00 [crypto]
   40 ?        I<     0:00 [kintegrityd]
   41 ?        I<     0:00 [kblockd]
   43 ?        I      0:00 [kworker/1:1-eve]
   44 ?        I<     0:00 [tpm_dev_wq]
   45 ?        I<     0:00 [ata_sff]
   46 ?        I<     0:00 [md]
   47 ?        I<     0:00 [edac-poller]
   49 ?        I<     0:00 [devfreq_wq]
   50 ?        S      0:00 [watchdogd]
   55 ?        S      0:04 [kswapd0]
   57 ?        S      0:00 [ecryptfs-kthrea]
  150 ?        I<     0:00 [kthrotld]
  151 ?        I<     0:00 [acpi_thermal_pm]
  152 ?        I<     0:00 [nvme-wq]
  153 ?        I<     0:00 [nvme-reset-wq]
  154 ?        I<     0:00 [nvme-delete-wq]
  157 ?        I<     0:00 [ipv6_addrconf]
  168 ?        I<     0:00 [kstrp]
  187 ?        I<     0:00 [charger_manager]
  241 ?        I<     0:00 [kworker/2:1H-ev]
  242 ?        I<     0:00 [kworker/3:1H-ev]
  292 ?        S      0:00 [jbd2/nvme0n1p5-]
  293 ?        I<     0:00 [ext4-rsv-conver]
  333 ?        S<s    0:00 /lib/systemd/systemd-journald
  347 ?        I<     0:00 [kworker/1:1H-ev]
  352 ?        Ss     0:00 /lib/systemd/systemd-udevd
  364 ?        S<     0:00 [loop0]
  391 ?        S<     0:00 [loop1]
  394 ?        S<     0:00 [loop2]
  401 ?        S<     0:00 [loop3]
  402 ?        S<     0:00 [loop4]
  404 ?        I<     0:00 [kworker/0:1H-ev]
  405 ?        S<     0:00 [loop5]
  406 ?        S<     0:00 [loop6]
  407 ?        S<     0:00 [loop7]
  409 ?        S<     0:00 [loop8]
  410 ?        S<     0:00 [loop9]
  411 ?        S<     0:00 [loop10]
  412 ?        S<     0:00 [loop11]
  413 ?        S<     0:00 [loop12]
  414 ?        S<     0:00 [loop13]
  415 ?        I      0:00 [kworker/1:2-eve]
  416 ?        S<     0:00 [loop14]
  417 ?        S<     0:00 [loop15]
  418 ?        S<     0:00 [loop16]
  419 ?        S<     0:00 [loop17]
  420 ?        S<     0:00 [loop18]
  421 ?        S<     0:00 [loop19]
  423 ?        S<     0:00 [loop20]
  427 ?        S      0:00 [irq/129-mei_me]
  429 ?        S      0:00 [irq/130-mei_me]
  431 ?        S      0:00 [ipts_event_thre]
  444 ?        S      0:01 [irq/86-MSHW0030]
  459 ?        I<     0:00 [cfg80211]
  466 ?        I<     0:00 [MWIFIEX_WORK_QU]
  468 ?        I<     0:00 [MWIFIEX_RX_WORK]
  734 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
  735 ?        Ss     0:00 /lib/systemd/systemd-resolved
  789 ?        Ssl    0:00 /usr/sbin/thermald --no-daemon --dbus-enable
  790 ?        Ss     0:00 /lib/systemd/systemd-logind
  792 ?        Ss     0:00 /usr/sbin/cron -f
  793 ?        Ssl    0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
  795 ?        Ssl    0:01 /usr/sbin/iio-sensor-proxy
  797 ?        Ssl    0:00 /usr/sbin/ModemManager --filter-policy=strict
  815 ?        Ss     0:00 /usr/sbin/acpid
  816 ?        Ss     0:00 avahi-daemon: running [PC.local]
  818 ?        Ss     0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  823 ?        S      0:00 avahi-daemon: chroot helper
  830 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
  832 ?        Ssl    0:01 /usr/sbin/NetworkManager --no-daemon
  833 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
  838 ?        Ssl    0:00 /usr/sbin/rsyslogd -n
  845 ?        Ssl    0:00 /usr/sbin/irqbalance --foreground
  847 ?        Ssl    0:00 /usr/lib/udisks2/udisksd
  852 ?        Ssl    0:04 /usr/lib/snapd/snapd
  892 ?        Ssl    0:01 /usr/lib/policykit-1/polkitd --no-debug
  909 ?        Ssl    0:01 /snap/anbox/181/usr/bin/anbox container-manager --data-path=/var/snap/anbox/common/ --android-image=/snap/anbox/181/android.img --daemon
  911 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
  928 ?        Ssl    0:00 /usr/sbin/gdm3
  944 ?        Sl     0:00 gdm-session-worker [pam/gdm-launch-environment]
  960 ?        Ss     0:00 /usr/sbin/kerneloops --test
  963 ?        Ss     0:00 /usr/sbin/kerneloops
 1005 ?        I<     0:00 [MWIFIEX_DFS_CAC]
 1006 ?        I<     0:00 [MWIFIEX_DFS_CHS]
 1016 ?        Ss     0:00 /lib/systemd/systemd --user
 1021 ?        I      0:00 [kworker/0:3-eve]
 1023 ?        S      0:00 (sd-pam)
 1036 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
 1038 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1040 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
 1046 tty1     Sl+    0:07 /usr/bin/gnome-shell
 1065 ?        Ssl    0:00 /usr/lib/upower/upowerd
 1069 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
 1163 tty1     Sl+    0:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
 1233 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1238 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1240 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1244 ?        Ssl    0:00 /usr/bin/pulseaudio --daemonize=no
 1245 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
 1258 ?        S<     0:00 [loop21]
 1268 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-wlp2s0.pid -lf /var/lib/NetworkManager/dhclient-77d73d70-8f89-4775-a15c-39835014ab01-wlp2s0.lease -cf /var/lib/NetworkManager/dhclient-wlp2s0.conf wlp2s0
 1275 tty1     Sl     0:00 ibus-daemon --xim --panel disable
